[000226/001000] L_error: 0.0864709318 	 S_error: 0.0512521639 
[000227/001000] L_error: 0.0863107592 	 S_error: 0.0512305349 
[000228/001000] L_error: 0.0861527771 	 S_error: 0.0512348339 
[000229/001000] L_error: 0.0859973803 	 S_error: 0.0512331538 
[000230/001000] L_error: 0.0858442932 	 S_error: 0.0512299500 
[000231/001000] L_error: 0.0856940150 	 S_error: 0.0512214303 
[000232/001000] L_error: 0.0855462998 	 S_error: 0.0512266308 
[000233/001000] L_error: 0.0854015052 	 S_error: 0.0512344837 
[000234/001000] L_error: 0.0852577090 	 S_error: 0.0512332693 
[000235/001000] L_error: 0.0851167142 	 S_error: 0.0512452684 
[000236/001000] L_error: 0.0849777907 	 S_error: 0.0512258895 
[000237/001000] L_error: 0.0848404691 	 S_error: 0.0512371510 
[000238/001000] L_error: 0.0847061947 	 S_error: 0.0512295328 
[000239/001000] L_error: 0.0845739841 	 S_error: 0.0512230098 
[000240/001000] L_error: 0.0844436288 	 S_error: 0.0512366295 
[000241/001000] L_error: 0.0843157023 	 S_error: 0.0512381606 
[000242/001000] L_error: 0.0841888860 	 S_error: 0.0512448438 
[000243/001000] L_error: 0.0840643942 	 S_error: 0.0512361191 
[000244/001000] L_error: 0.0839423388 	 S_error: 0.0512350313 
[000245/001000] L_error: 0.0838216394 	 S_error: 0.0512256622 
[000246/001000] L_error: 0.0837024003 	 S_error: 0.0512407757 
[000247/001000] L_error: 0.0835856050 	 S_error: 0.0512358733 
[000248/001000] L_error: 0.0834712312 	 S_error: 0.0512356535 
[000249/001000] L_error: 0.0833574980 	 S_error: 0.0512425713 
[000250/001000] L_error: 0.0832463056 	 S_error: 0.0512404256 
[000251/001000] L_error: 0.0831363648 	 S_error: 0.0512347482 
[000252/001000] L_error: 0.0830285996 	 S_error: 0.0512501709 
[000253/001000] L_error: 0.0829222947 	 S_error: 0.0512435511 
[000254/001000] L_error: 0.0828173459 	 S_error: 0.0512287430 
[000255/001000] L_error: 0.0827145875 	 S_error: 0.0512456857 
[000256/001000] L_error: 0.0826131627 	 S_error: 0.0512435660 
[000257/001000] L_error: 0.0825131238 	 S_error: 0.0512409844 
[000258/001000] L_error: 0.0824151263 	 S_error: 0.0512442142 
[000259/001000] L_error: 0.0823187158 	 S_error: 0.0512486026 
[000260/001000] L_error: 0.0822232962 	 S_error: 0.0512440354 
[000261/001000] L_error: 0.0821297169 	 S_error: 0.0512232184 
[000262/001000] L_error: 0.0820375979 	 S_error: 0.0512326919 
[000263/001000] L_error: 0.0819467157 	 S_error: 0.0512386188 
[000264/001000] L_error: 0.0818576366 	 S_error: 0.0512263142 
[000265/001000] L_error: 0.0817697942 	 S_error: 0.0512301363 
[000266/001000] L_error: 0.0816831738 	 S_error: 0.0512392670 
[000267/001000] L_error: 0.0815975219 	 S_error: 0.0512228012 
[000268/001000] L_error: 0.0815133452 	 S_error: 0.0512226708 
[000269/001000] L_error: 0.0814308673 	 S_error: 0.0512228794 
[000270/001000] L_error: 0.0813494995 	 S_error: 0.0512448698 
[000271/001000] L_error: 0.0812699646 	 S_error: 0.0512457676 
[000272/001000] L_error: 0.0811906904 	 S_error: 0.0512352511 
[000273/001000] L_error: 0.0811135769 	 S_error: 0.0512426570 
[000274/001000] L_error: 0.0810369849 	 S_error: 0.0512431748 
[000275/001000] L_error: 0.0809619576 	 S_error: 0.0512357764 
[000276/001000] L_error: 0.0808876902 	 S_error: 0.0512436591 
[000277/001000] L_error: 0.0808149874 	 S_error: 0.0512378067 
[000278/001000] L_error: 0.0807430297 	 S_error: 0.0512362644 
[000279/001000] L_error: 0.0806728899 	 S_error: 0.0512273908 
[000280/001000] L_error: 0.0806036144 	 S_error: 0.0512309447 
[000281/001000] L_error: 0.0805350691 	 S_error: 0.0512250252 
[000282/001000] L_error: 0.0804678798 	 S_error: 0.0512216687 
[000283/001000] L_error: 0.0804012865 	 S_error: 0.0512303337 
[000284/001000] L_error: 0.0803365409 	 S_error: 0.0512315184 
[000285/001000] L_error: 0.0802726373 	 S_error: 0.0512422584 
[000286/001000] L_error: 0.0802091062 	 S_error: 0.0512488410 
[000287/001000] L_error: 0.0801467896 	 S_error: 0.0512379445 
[000288/001000] L_error: 0.0800854638 	 S_error: 0.0512456149 
[000289/001000] L_error: 0.0800253525 	 S_error: 0.0512279868 
[000290/001000] L_error: 0.0799663290 	 S_error: 0.0512372851 
[000291/001000] L_error: 0.0799080506 	 S_error: 0.0512428433 
[000292/001000] L_error: 0.0798507482 	 S_error: 0.0512364805 
[000293/001000] L_error: 0.0797939375 	 S_error: 0.0512281768 
[000294/001000] L_error: 0.0797383413 	 S_error: 0.0512299985 
[000295/001000] L_error: 0.0796832368 	 S_error: 0.0512278937 
[000296/001000] L_error: 0.0796291083 	 S_error: 0.0512245931 
[000297/001000] L_error: 0.0795763284 	 S_error: 0.0512267277 
[000298/001000] L_error: 0.0795243979 	 S_error: 0.0512216240 
[000299/001000] L_error: 0.0794724673 	 S_error: 0.0512254499 
[000300/001000] L_error: 0.0794221312 	 S_error: 0.0512431860 
[000301/001000] L_error: 0.0793720409 	 S_error: 0.0512474924 
[000302/001000] L_error: 0.0793232769 	 S_error: 0.0512573682 
[000303/001000] L_error: 0.0792751461 	 S_error: 0.0512436926 
[000304/001000] L_error: 0.0792277157 	 S_error: 0.0512283854 
[000305/001000] L_error: 0.0791809410 	 S_error: 0.0512310490 
[000306/001000] L_error: 0.0791352168 	 S_error: 0.0512546264 
[000307/001000] L_error: 0.0790902525 	 S_error: 0.0512360595 
[000308/001000] L_error: 0.0790453032 	 S_error: 0.0512284338 
[000309/001000] L_error: 0.0790015608 	 S_error: 0.0512200892 
[000310/001000] L_error: 0.0789580792 	 S_error: 0.0512368530 
[000311/001000] L_error: 0.0789153129 	 S_error: 0.0512244441 
[000312/001000] L_error: 0.0788734108 	 S_error: 0.0512274615 
[000313/001000] L_error: 0.0788318664 	 S_error: 0.0512310639 
[000314/001000] L_error: 0.0787910670 	 S_error: 0.0512421206 
[000315/001000] L_error: 0.0787512213 	 S_error: 0.0512411036 
[000316/001000] L_error: 0.0787116438 	 S_error: 0.0512404591 
[000317/001000] L_error: 0.0786730349 	 S_error: 0.0512172841 
[000318/001000] L_error: 0.0786350369 	 S_error: 0.0512198582 
[000319/001000] L_error: 0.0785981491 	 S_error: 0.0512322262 
[000320/001000] L_error: 0.0785613656 	 S_error: 0.0512339994 
[000321/001000] L_error: 0.0785248280 	 S_error: 0.0512284748 
[000322/001000] L_error: 0.0784891546 	 S_error: 0.0512353927 
[000323/001000] L_error: 0.0784534812 	 S_error: 0.0512284264 
[000324/001000] L_error: 0.0784192607 	 S_error: 0.0512301512 
[000325/001000] L_error: 0.0783846974 	 S_error: 0.0512282252 
[000326/001000] L_error: 0.0783508569 	 S_error: 0.0512355231 
[000327/001000] L_error: 0.0783181041 	 S_error: 0.0512312166 
[000328/001000] L_error: 0.0782856047 	 S_error: 0.0512332506 
[000329/001000] L_error: 0.0782531202 	 S_error: 0.0512431189 
[000330/001000] L_error: 0.0782213584 	 S_error: 0.0512296446 
[000331/001000] L_error: 0.0781904310 	 S_error: 0.0512317047 
[000332/001000] L_error: 0.0781597644 	 S_error: 0.0512401909 
[000333/001000] L_error: 0.0781295896 	 S_error: 0.0512297563 
[000334/001000] L_error: 0.0780999064 	 S_error: 0.0512232222 
[000335/001000] L_error: 0.0780710727 	 S_error: 0.0512292758 
[000336/001000] L_error: 0.0780422315 	 S_error: 0.0512352400 
[000337/001000] L_error: 0.0780135244 	 S_error: 0.0512304455 
[000338/001000] L_error: 0.0779859126 	 S_error: 0.0512526147 
[000339/001000] L_error: 0.0779585317 	 S_error: 0.0512365960 
[000340/001000] L_error: 0.0779314116 	 S_error: 0.0512349643 
[000341/001000] L_error: 0.0779048949 	 S_error: 0.0512373969 
[000342/001000] L_error: 0.0778785199 	 S_error: 0.0512340106 
[000343/001000] L_error: 0.0778524950 	 S_error: 0.0512452796 
[000344/001000] L_error: 0.0778271854 	 S_error: 0.0512470976 
[000345/001000] L_error: 0.0778023750 	 S_error: 0.0512310788 
[000346/001000] L_error: 0.0777775794 	 S_error: 0.0512397699 
[000347/001000] L_error: 0.0777533874 	 S_error: 0.0512436628 
[000348/001000] L_error: 0.0777294487 	 S_error: 0.0512449816 
[000349/001000] L_error: 0.0777059793 	 S_error: 0.0512363985 
[000350/001000] L_error: 0.0776827782 	 S_error: 0.0512420163 
[000351/001000] L_error: 0.0776607692 	 S_error: 0.0512609407 
[000352/001000] L_error: 0.0776386559 	 S_error: 0.0512439385 
[000353/001000] L_error: 0.0776169002 	 S_error: 0.0512416139 
[000354/001000] L_error: 0.0775953829 	 S_error: 0.0512455478 
